wafer_id,mean,sd_within,standard_error,worst_site,shift_drop_worst,p_value,flagged
wf0079,614.5867692307693,9.662375528770047,2.6798608009052987,3,1.4583525641024835,0.9595882673925807,False
wf0080,635.844076923077,10.236490922687159,2.8390917617361717,5,-1.9836730769230826,0.9367453336702001,False
wf0081,470.356923076923,7.03338194447899,1.9507091723647396,5,1.1697564102563547,0.9976688537679841,False
wf0082,638.9858461538461,11.853358454084884,3.287530130204432,12,1.3199294871793654,0.8264128000105906,False
wf0083,623.4900769230769,10.275959472327793,2.8500383678513646,8,1.6818269230768692,0.9348888448801146,False
wf0084,638.8593846153847,11.42283934739565,3.1681256137248175,2,-1.9161153846152956,0.8628683249693793,False
wf0085,605.1174615384615,8.965283948053779,2.4865223826001643,3,-1.0011217948717785,0.9782184411002021,False
wf0086,621.6364615384615,12.71431450908372,3.526316376529009,9,1.7916282051281769,0.7389075926133435,False
wf0087,598.8486153846154,11.148747788716447,3.0921062930333014,8,-2.485134615384709,0.8833759177020518,False
wf0088,611.521846153846,8.888151062380313,2.4651295691909194,3,1.3301794871794073,0.9797678506376424,False
wf0089,602.5939999999999,11.288359734700167,3.1308276799495793,2,-2.068333333333385,0.8731942263024275,False
wf0090,614.3292307692308,10.68182667863075,2.9626056773401825,8,-1.8311025641025935,0.9134831722302026,False
wf0091,639.2969999999999,10.839593234988103,3.0063622472247835,5,-1.730666666666707,0.9039822721013236,False
wf0092,631.1306153846155,13.609815958457215,3.7746837913727362,6,-2.470134615384495,0.63147527699121,False
wf0093,598.828076923077,8.706652652440923,2.4147909673869457,4,1.493826923076881,0.9830691997237877,False
wf0094,637.337,27.543933388316198,7.6393126276568175,5,4.2345000000000255,6.574420749766845e-05,True
wf0095,666.1217692307692,12.399771255644508,3.4390777743269823,13,1.9432692307692605,0.772980854845114,False
wf0096,643.4446153846153,12.172863957305909,3.3761450128703037,9,1.6001987179487287,0.7961010570903068,False
wf0097,638.0842307692308,13.612390306591065,3.7753977870802355,6,-2.711769230769164,0.6311494664169408,False
wf0098,642.7964615384615,15.881236820093616,4.404662590202632,8,2.706544871794904,0.3423413672130053,False
