wafer_id,sd_within,baseline,limit,exceeded
wf0102,18.632915546667157,13.030050857043554,21.578242352102667,False
wf0103,9.713840093339744,13.09662069151642,21.68848444074489,False
wf0104,13.639685379670986,13.067988379739429,21.64106828179023,False
wf0105,12.86955485254109,13.073604502465404,21.650368787105965,False
wf0106,13.109777677122894,13.071676195768966,21.64717544045817,False
wf0107,6.19647702948401,13.072036162611514,21.64777155875828,False
wf0108,8.156591685445402,13.024591423752662,21.56920133024109,False
wf0109,8.226893637520611,12.987888958201582,21.508420700505265,False
wf0110,11.300917488280447,12.952166697246376,21.44926332554845,False
wf0111,10.600299236826132,12.93810459308685,21.425975965056626,False
wf0112,10.656121432038901,12.918931877407044,21.394225244355244,False
wf0113,8.982727713042758,12.900484424274634,21.363675585045584,False
wf0114,19.276051845323245,12.871044960305534,21.314922752442648,False
wf0115,16.22091148044433,12.941018490306867,21.430801485777344,False
wf0116,11.46396578414294,12.973113789289565,21.483952478617674,False
wf0117,10.775986733925732,12.96085481407358,21.463651165821496,False
wf0118,8.148842504716033,12.943743418631904,21.43531406707383,False
wf0119,10.733613545474302,12.910592614498384,21.380415118972373,False
wf0120,7.812795873371728,12.893830149616942,21.352655862036332,False
wf0121,9.371895998279314,12.859786038491048,21.296277564775938,False
wf0122,11.55673982397175,12.834845412821771,21.254974973480692,False
wf0123,11.141384387809392,12.824886892625532,21.23848329861155,False
wf0124,8.70573730732226,12.812091833904908,21.217294211860306,False
wf0125,42.39065553793546,12.78425272924155,21.171191632992258,True
wf0126,28.3010462905707,13.285532067548,22.001328611485413,True
wf0127,16.074788627632934,13.470755953520205,22.308066163376544,False
wf0128,9.093978341568826,13.49322324523051,22.345272822877668,False
wf0129,9.86010220665287,13.46442615699903,22.297583788067964,False
wf0130,13.364646668135416,13.44020360157978,22.25747034745608,False
wf0131,18.154865702248163,13.439624015591857,22.25651053179239,False
wf0132,26.06031710159907,13.48186605855532,22.326464904995838,True
wf0133,8.926066168452357,13.62089344691281,22.556699361673815,False
wf0134,7.776747942688017,13.591646071978277,22.508264635560753,False
wf0135,8.306613465741052,13.557491160607068,22.451702849028344,False
wf0136,40.18859100827956,13.52609158945147,22.399704006999162,True
wf0137,20.528686792151515,13.909917271202744,23.035333420318985,False
wf0138,22.783775047675416,13.969595654369682,23.134163012719362,False
wf0139,28.198565949398297,14.05336516038762,23.272888388575737,True
wf0140,10.743205841069495,14.205520029353796,23.52486243484968,False
wf0141,9.747203612134623,14.183786411415396,23.488870766036715,False
wf0142,40.10803475230754,14.157217429375299,23.444871556839466,True
wf0143,31.409757240957738,14.503237619361476,24.017893688537917,True
wf0144,7.954002575707333,14.689182275015945,24.32582486147125,False
wf0145,7.623584001350095,14.65308865144665,24.26605249639849,False
wf0146,7.812757238431677,14.616191315994904,24.204949154956488,False
wf0147,8.50919690085003,14.580393858624682,24.145667251977102,False
wf0148,10.846631996461694,14.547655128744905,24.091450713960754,False
wf0149,11.793553123178388,14.525812783271016,24.055278988359305,False
wf0150,12.945370559016695,14.50919055495421,24.027751968320228,False
wf0151,25.504839510098822,14.499323568669483,24.01141187696735,True
wf0152,17.980167951498736,14.599522452224035,24.177344904894213,False
wf0153,14.985957295551806,14.62431754375904,24.21840648632278,False
wf0154,12.424464025998587,14.626710231585223,24.222368865161727,False
wf0155,9.236944551150321,14.61348049885936,24.200459942307607,False
wf0156,7.492700785704873,14.585146717030998,24.153538159902322,False
wf0157,8.569842869486704,14.550695816133524,24.096486203853193,False
wf0158,8.501688833734216,14.520398787591125,24.046313212848858,False
wf0159,8.025297871299056,14.490169020487356,23.99625160925503,False
wf0160,8.93403109047875,14.458545193352212,23.94388139109473,False
wf0161,9.583665805381093,14.430586448523751,23.897580683723127,False
wf0162,8.399649530234518,14.40551539692113,23.85606210229633,False
wf0163,10.525755751537547,14.376140384659898,23.807416004086654,False
wf0164,10.446560066872214,14.355667172853414,23.773511614078274,False
wf0165,9.200142929491745,14.335061688724185,23.739388176249744,False
wf0166,9.520174731751345,14.309491993508248,23.697043822701758,False
wf0167,9.20823678728829,14.285448681747722,23.657227216166003,False
wf0168,10.159766787021567,14.260426994131945,23.615790383312817,False
wf0169,8.89061794022069,14.239512388894818,23.581155029586522,False
wf0170,10.98982578838148,14.213783393773776,23.53854686955023,False
wf0171,14.929509712955438,14.196959731403163,23.510686267326506,False
wf0172,15.404647121433769,14.201353492622356,23.51796249713291,False
wf0173,27.53316856201084,14.208643898715978,23.53003567714267,True
wf0174,19.26566254359266,14.321331343082006,23.716650220036403,False
wf0175,14.927428279031908,14.354613518475862,23.771766723765595,False
wf0176,14.613205394787828,14.357951665909248,23.777294818407352,False
wf0177,11.82323801802066,14.35941478830432,23.77971780278232,False
wf0178,16.90630377502231,14.34634553286198,23.75807463619837,False
wf0179,13.059382981556753,14.362001918995091,23.78400218614003,False
wf0180,16.727138495762205,14.355053054515887,23.772494611576484,False
wf0181,10.482721596231713,14.3693130373361,23.79610966639149,False
wf0182,23.19651632747402,14.350732120187963,23.765338985774378,False
wf0183,9.298605764665286,14.414174592532014,23.870402047973897,False
wf0184,12.541018057169712,14.391162698986818,23.832293507850235,False
wf0185,7.860827543373963,14.381750837237103,23.816707119427964,False
wf0186,8.601104730774034,14.354467790077853,23.77152539219104,False
wf0187,10.309666276401446,14.329713270064437,23.73053099869098,False
wf0188,12.519586736953517,14.311219215383277,23.699904165506567,False
wf0189,10.916351966495519,14.30228299690249,23.68510545979119,False
wf0190,11.220625432200451,14.286479888614524,23.658934932577175,False
wf0191,15.470410463120743,14.27206793059741,23.635068201259433,False
wf0192,17.233260684144835,14.278603876209743,23.64589196702753,False
wf0193,9.638862138931831,14.295574826429876,23.673996483334736,False
wf0194,28.50151035921447,14.275362287717812,23.640523777536018,True
wf0195,21.564983682599184,14.384812294794687,23.82177700548236,False
wf0196,17.773916490832214,14.43075002475122,23.89785157195818,False
wf0197,14.408761131997935,14.449770252994961,23.929349767869976,False
wf0198,11.807641154821132,14.449562378768254,23.92900552052268,False
wf0199,13.695710646131648,14.437434055717212,23.90892057250588,False
wf0200,13.911734816426161,14.433802089413096,23.90290590303262,False
wf0201,13.641213539613458,14.4312387330602,23.898660890850824,False
wf0202,10.205351304271192,14.427415338100353,23.89232920849927,False
wf0203,13.618684137648017,14.409561281239055,23.862762235189027,False
wf0204,18.200332519151733,14.40577175206445,23.856486635820527,False
wf0205,20.025913543296593,14.426806958161057,23.891321708995523,False
wf0206,19.316824615955646,14.45938298634415,23.94526880703188,False
wf0207,41.35618781097226,14.48689728788565,23.990833500011604,True
wf0208,28.423488493966868,14.73495204472387,24.40162127961214,True
wf0209,17.67148176894785,14.831017512124989,24.56070921871476,False
wf0210,14.25544224956804,14.84590224268426,24.58535887871053,False
wf0211,11.961793626761448,14.84314618718852,24.580794749677157,False
wf0212,14.167259618661765,14.830810784827738,24.56036687072473,False
wf0213,18.902980576943623,14.827750530114852,24.555298976625288,False
wf0214,24.005443554669238,14.849496294196133,24.59131075989656,False
wf0215,13.387045479367972,14.905366182444837,24.68383334496105,False
wf0216,14.256661706023609,14.898662397847025,24.67273163167421,False
wf0217,11.950565665723488,14.895753926855871,24.667915096987606,False
wf0218,17.128365426750687,14.88351836259884,24.647652553598512,False
wf0219,19.514721932165564,14.894588280909613,24.66598474452766,False
wf0220,20.815754004032875,14.91893682855737,24.706306832893187,False
wf0221,21.381450258732844,14.951003262087422,24.759410023484726,False
wf0222,11.936516433369611,14.986315944437278,24.81788912124175,False
wf0223,27.616644162672866,14.973970887525065,24.797445253997882,True
wf0224,21.035287454838652,15.054382070500477,24.930609123663423,False
wf0225,17.545228076500184,15.086352464392705,24.98355326909059,False
wf0226,15.296144915279486,15.09816676149809,25.003118178618315,False
wf0227,16.995480640226337,15.099048488719166,25.004578351251066,False
wf0228,16.022584539746788,15.107924855683867,25.019277940659578,False
wf0229,18.70846884229376,15.112057392317936,25.02612157296748,False
wf0230,15.019510806247117,15.12962078303001,25.05520719246872,False
wf0231,23.203084667279125,15.12914377855854,25.054417255560466,False
wf0232,11.800271745567173,15.173357713925446,25.12763715494187,False
wf0233,14.27583425735916,15.16042909358484,25.10622688524694,False
wf0234,12.675414503413043,15.156742863226436,25.10012235250858,False
wf0235,13.151283616789303,15.14700376094163,25.08399404175223,False
wf0236,13.795133949777648,15.13906872361656,25.070853328768692,False
wf0237,14.532250758315588,15.133625870329464,25.061839764001796,False
wf0238,37.66601339982634,15.131138634345895,25.05772080994481,True
wf0239,30.139655613919018,15.295437890934199,25.32980640775476,True
wf0240,26.670943130574877,15.387409794789717,25.48211525541408,True
wf0241,36.428791595244306,15.451528790806766,25.58829866564087,True
wf0242,13.645772428362816,15.596972114205071,25.82915814617677,False
wf0243,20.333712808459836,15.589411806689315,25.816637999508025,False
wf0244,41.120530678195415,15.61189030774322,25.853863222093473,True
wf0245,29.812457188272237,15.800700331496131,26.166539549741437,True
wf0246,12.20572651909645,15.883034532358618,26.302888007592394,False
wf0247,13.326931275832758,15.86981108067104,26.280989486368156,False
wf0248,10.555199194029505,15.860338001556485,26.26530171974336,False
wf0249,11.52088578659177,15.842513960038923,26.235784452943747,False
wf0250,14.012473491820579,15.827518161330781,26.210950860017842,False
wf0251,12.667037014660124,15.820672788352036,26.199614671176644,False
wf0252,12.828049144705309,15.809356715061163,26.180874838567885,False
wf0253,13.853265135811009,15.798637993914523,26.16312424302959,False
wf0254,15.042123871451881,15.791420532458705,26.151171862016707,False
wf0255,13.539878910472444,15.788540270787975,26.146402042999853,False
wf0256,15.783237722343276,15.780347831228566,26.13283506247097,False
wf0257,13.487334423783455,15.780359120895351,26.132853758573436,False
wf0258,16.675808828651874,15.772082917975217,26.119148062845525,False
wf0259,21.09371266332878,15.775685674106942,26.12511435920145,False
wf0260,22.996289134029816,15.799661230409136,26.164818760211947,False
wf0261,24.16633751570721,15.833607966044461,26.221035800086803,False
